Date,Open,High,Low,Close,Adj Close,Volume
2023-07-10,334.600006,335.230011,327.589996,331.829987,331.829987,32791400
2023-07-11,331.059998,332.859985,327.000000,332.470001,332.470001,26698200
2023-07-12,336.600006,341.649994,335.670013,337.200012,337.200012,29995300
2023-07-13,339.559998,343.739990,339.019989,342.660004,342.660004,20567200
2023-07-14,347.589996,351.429993,344.309998,345.239990,345.239990,28302200
2023-07-17,345.679993,346.989990,342.200012,345.730011,345.730011,20363900
2023-07-18,345.829987,366.779999,342.170013,359.489990,359.489990,64872700
2023-07-19,361.750000,362.459991,352.440002,355.079987,355.079987,39732900
2023-07-20,353.570007,357.970001,345.369995,346.869995,346.869995,33778400
2023-07-21,349.149994,350.299988,339.829987,343.769989,343.769989,69368900
2023-07-24,345.850006,346.920013,342.309998,345.109985,345.109985,26678100
2023-07-25,347.109985,351.890015,345.070007,350.980011,350.980011,41637700
2023-07-26,341.440002,344.670013,333.109985,337.769989,337.769989,58383700
2023-07-27,340.480011,341.329987,329.049988,330.720001,330.720001,39635300
2023-07-28,333.670013,340.010010,333.170013,338.369995,338.369995,28484900
2023-07-31,336.920013,337.700012,333.359985,335.920013,335.920013,25446000
2023-08-01,335.190002,338.540009,333.700012,336.339996,336.339996,18311900
2023-08-02,333.630005,333.630005,326.359985,327.500000,327.500000,27761300
2023-08-03,326.000000,329.880005,325.950012,326.660004,326.660004,18253700
2023-08-04,331.880005,335.140015,327.239990,327.779999,327.779999,23727700
2023-08-07,328.369995,331.109985,327.519989,330.109985,330.109985,17729100
